level_0,index,county,cases,latitude,longitude
0,0,"Alabama, Autauga",12,32.5165255,-86.6319403
1,1,"Alabama, Baldwin",28,30.5677527,-87.7324392
2,2,"Alabama, Barbour",1,31.8589311,-85.4032078
3,3,"Alabama, Bibb",4,32.971078999999996,-87.1227088
4,4,"Alabama, Blount",9,33.9510169,-86.5702002
5,5,"Alabama, Bullock",2,32.09929,-85.7091657
6,6,"Alabama, Butler",1,32.089590799999996,-88.2219652
7,7,"Alabama, Calhoun",20,33.7514505,-85.8315666
8,8,"Alabama, Chambers",81,32.8901658,-85.3866953
9,9,"Alabama, Cherokee",5,34.1142554,-85.60045140000003
10,10,"Alabama, Chilton",15,32.8522565,-86.7032845
11,11,"Alabama, Choctaw",4,31.990809499999997,-88.28213259999998
12,12,"Alabama, Clarke",3,31.659134,-87.8192486
13,13,"Alabama, Clay",8,33.715158,-86.5866694493927
14,14,"Alabama, Cleburne",7,33.6506958,-85.5017359
15,15,"Alabama, Coffee",6,31.362961900000002,-85.98706690000002
16,16,"Alabama, Colbert",5,34.6473396,-87.79217690000002
17,17,"Alabama, Conecuh",1,31.396678299999998,-86.9437104
18,18,"Alabama, Coosa",6,32.9181762,-86.2327497
19,19,"Alabama, Covington",4,31.196548999999997,-86.45972359999998
20,20,"Alabama, Crenshaw",1,31.680936199999998,-86.32440090000001
21,21,"Alabama, Cullman",15,34.1335332,-86.8779268
22,22,"Alabama, Dale",1,31.394096899999997,-85.623763
23,23,"Alabama, Dallas",7,32.311796799999996,-87.1046643
24,24,"Alabama, DeKalb",10,34.4524349,-85.76621180000002
25,25,"Alabama, Elmore",19,32.5801231,-86.12519499999998
26,26,"Alabama, Escambia",2,31.1168422,-87.1070947
27,27,"Alabama, Etowah",21,34.0371404,-86.022147
28,28,"Alabama, Fayette",1,33.73034929999999,-87.7419088
29,29,"Alabama, Franklin",5,34.440962,-87.8339064
30,30,"Alabama, Greene",5,32.8620514,-87.9915392
31,31,"Alabama, Hale",3,32.7412417,-87.6561668
32,32,"Alabama, Henry",2,31.483804100000004,-85.2447377
33,33,"Alabama, Houston",12,31.1355603,-85.26545920000002
34,34,"Alabama, Jackson",12,34.7692447,-85.9867941
35,35,"Alabama, Jefferson",369,33.5228184,-86.91645129999998
36,36,"Alabama, Lamar",1,33.7490016,-88.1003689
37,37,"Alabama, Lauderdale",14,34.9049555,-87.6747398
38,38,"Alabama, Lawrence",4,34.477636700000005,-87.30173309999998
39,39,"Alabama, Lee",99,32.5814796,-85.3077038
40,40,"Alabama, Limestone",30,34.8342463,-86.9901321
41,41,"Alabama, Lowndes",2,32.1088066,-86.64025409999998
42,42,"Alabama, Macon",5,32.366606,-85.66603070000002
43,43,"Alabama, Madison",123,34.7736807,-86.5675095
44,44,"Alabama, Marengo",8,32.201002,-87.7569365
45,45,"Alabama, Marion",16,34.112813200000005,-87.8544031
46,46,"Alabama, Marshall",17,34.3396046,-86.33018009999998
47,47,"Alabama, Mobile",103,30.6943566,-88.04305409999998
48,48,"Alabama, Monroe",5,31.5593935,-87.37810040000002
49,49,"Alabama, Montgomery",61,32.3669656,-86.3006485
50,50,"Alabama, Morgan",24,34.4296848,-86.8529584
51,51,"Alabama, Pickens",11,33.294842100000004,-88.1244034
52,52,"Alabama, Pike",10,33.258881699999996,-86.8295337
53,53,"Alabama, Randolph",10,33.2651763,-85.46939609999998
54,54,"Alabama, Russell",4,32.2698458,-85.1959487
55,55,"Alabama, Shelby",115,33.2503347,-86.66397459999996
56,56,"Alabama, St. Clair",23,33.708640700000004,-86.3364
57,57,"Alabama, Sumter",7,32.5234698,-88.18379859999996
58,58,"Alabama, Talladega",12,33.396707899999996,-86.1597137
59,59,"Alabama, Tallapoosa",20,32.8595687,-85.80237740000003
60,60,"Alabama, Tuscaloosa",41,33.2095614,-87.5675258
61,61,"Alabama, Walker",49,33.78044910000001,-87.2767248
62,62,"Alabama, Washington",5,31.3991238,-88.2019828
63,63,"Alabama, Wilcox",6,31.9523021,-87.3005169
64,64,"Alabama, Winston",3,34.132886299999996,-87.361354
65,65,"Alaska, Anchorage",73,61.2163129,-149.8948523
66,66,"Alaska, Fairbanks North Star Borough",42,64.8649039,-146.7751619
67,67,"Alaska, Juneau City and Borough",11,58.37958465,-134.1629625841316
68,68,"Alaska, Kenai Peninsula Borough",10,60.0968272,-151.788033
69,69,"Alaska, Ketchikan Gateway Borough",14,55.489748,-131.01196299999998
70,70,"Alaska, Matanuska-Susitna Borough",4,62.340248100000004,-149.47932880000005
71,71,"Alaska, Southeast Fairbanks Census Area",1,63.8489123,-143.9873581406952
72,72,"Alaska, Yukon-Koyukuk Census Area",1,65.22660049999999,-153.54722871598733
73,73,"Arizona, Apache",17,35.214632,-109.4786676
74,74,"Arizona, Cochise",5,31.8514532,-109.8181858
75,75,"Arizona, Coconino",126,35.93632520000001,-111.6948197
76,76,"Arizona, Gila",2,33.7517565,-110.8052705
77,77,"Arizona, Graham",2,32.8397096,-109.86857520000001
78,78,"Arizona, Greenlee",1,33.2312681,-109.27512970000001
79,79,"Arizona, La Paz",2,33.7923828,-114.0184443
80,80,"Arizona, Maricopa",1049,33.34883,-112.49123
81,81,"Arizona, Mohave",9,35.721803799999996,-113.8271174
82,82,"Arizona, Navajo",148,35.1819775,-110.3549451
83,83,"Arizona, Pima",280,32.1112624,-111.6546163
84,84,"Arizona, Pinal",77,32.8085851,-111.4426212
85,85,"Arizona, Santa Cruz",3,31.509457899999997,-110.8476281
86,86,"Arizona, Unknown",0,33.4216806,-111.88523719999999
87,87,"Arizona, Yavapai",35,34.5668857,-112.5515965
88,88,"Arizona, Yuma",13,32.6926588,-114.6276157
89,89,"Arkansas, Arkansas",1,34.290245399999996,-91.3598511
90,90,"Arkansas, Ashley",4,33.1742582,-91.7295595
91,91,"Arkansas, Baxter",3,36.2820691,-92.3445222
92,92,"Arkansas, Benton",41,36.3456186,-94.26704040000001
93,93,"Arkansas, Boone",3,36.2829183,-93.0784759
94,94,"Arkansas, Bradley",4,33.4494147,-92.16875999999999
95,95,"Arkansas, Carroll",1,36.3386737,-93.5093048
96,96,"Arkansas, Chicot",2,33.2536665,-91.30269859999999
97,97,"Arkansas, Clark",27,34.054196600000004,-93.198963
98,98,"Arkansas, Cleburne",65,35.5298937,-92.0312818
99,99,"Arkansas, Cleveland",4,33.8847138,-92.17245059999999
100,100,"Arkansas, Columbia",3,33.1938586,-93.23443370000001
101,101,"Arkansas, Conway",3,35.25219960000001,-92.6888936
102,102,"Arkansas, Craighead",16,35.834841299999994,-90.6441144
103,103,"Arkansas, Crawford",3,35.5803044,-94.2684622
104,104,"Arkansas, Crittenden",43,35.2505701,-90.31922990000001
105,105,"Arkansas, Cross",5,35.30012160000001,-90.7750181
106,106,"Arkansas, Desha",4,33.7740219,-91.3110517
107,107,"Arkansas, Drew",3,33.5716907,-91.71609690000001
108,108,"Arkansas, Faulkner",40,35.147085100000005,-92.3219053
109,109,"Arkansas, Garland",40,34.548894399999995,-93.18385390000002
110,110,"Arkansas, Grant",3,34.2773864,-92.420578
111,111,"Arkansas, Greene",4,36.09180300000001,-90.5778883
112,112,"Arkansas, Hempstead",3,33.69493189999999,-93.6929825
113,113,"Arkansas, Hot Spring",5,34.295635100000005,-92.90057420000001
114,114,"Arkansas, Howard",4,34.0744088,-93.97457759999999
115,115,"Arkansas, Independence",4,35.718344,-91.55326
116,116,"Arkansas, Jefferson",53,34.2711667,-91.9248307
117,117,"Arkansas, Johnson",7,35.56006970000001,-93.4550108
118,118,"Arkansas, Lafayette",1,33.1821484,-93.5972459
119,119,"Arkansas, Lawrence",3,36.00782120000001,-91.1655476
120,120,"Arkansas, Lee",1,34.7836833,-90.77596190000001
121,121,"Arkansas, Lincoln",6,33.9359663,-91.7713274
122,122,"Arkansas, Lonoke",16,34.741440399999995,-91.862792
123,123,"Arkansas, Miller",8,33.2766729,-93.9214795
124,124,"Arkansas, Mississippi",1,35.7547987,-90.0875933
125,125,"Arkansas, Monroe",1,34.6778982,-91.2289578
126,126,"Arkansas, Nevada",1,33.6413476,-93.3055491
127,127,"Arkansas, Newton",1,35.918468,-93.2273047
128,128,"Arkansas, Ouachita",1,33.5680929,-92.9355875
129,129,"Arkansas, Perry",2,34.9616474,-92.87575140000001
130,130,"Arkansas, Pike",2,35.2048883,-92.4479108
131,131,"Arkansas, Poinsett",5,35.573018299999994,-90.6717121
132,132,"Arkansas, Polk",5,34.4995799,-94.23971159999999
133,133,"Arkansas, Pope",8,35.45386699999999,-93.0498623
134,134,"Arkansas, Prairie",1,34.8105247,-91.5751148
135,135,"Arkansas, Pulaski",137,34.755016600000005,-92.3003472
136,136,"Arkansas, Randolph",3,36.3412315,-91.0387017
137,137,"Arkansas, Saline",21,34.6021249,-92.6542869
138,138,"Arkansas, Scott",1,34.8469384,-94.0431714
139,139,"Arkansas, Searcy",4,35.90189870000001,-92.7098744
140,140,"Arkansas, Sebastian",8,35.1770785,-94.2654285
141,141,"Arkansas, Sevier",3,33.98678579999999,-94.243888
142,142,"Arkansas, Sharp",1,36.1344424,-91.4930274
143,143,"Arkansas, St. Francis",2,35.0153956,-90.72631940000001
144,144,"Arkansas, Stone",5,35.8317159,-92.1747633
145,145,"Arkansas, Union",10,33.16373660000001,-92.6171029
146,146,"Arkansas, Unknown",13,36.1871198,-90.3839161
147,147,"Arkansas, Van Buren",20,35.5759086,-92.4916144
148,148,"Arkansas, Washington",25,35.9672625,-94.2280656
149,149,"Arkansas, White",23,35.24630420000001,-91.71696870000001
150,150,"Arkansas, Woodruff",1,35.171457399999994,-91.22298509999999
151,151,"California, Alameda",464,37.6090291,-121.899142
152,152,"California, Alpine",1,38.5893934,-119.8345013
